Final SCORE : 16
         99824893 function calls (98455940 primitive calls) in 137.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2734796   12.823    0.000   35.672    0.000 arraypad.py:989(_normalize_shape)
  1367398   11.506    0.000   60.947    0.000 arraypad.py:1117(pad)
  7264553   10.677    0.000   10.677    0.000 {numpy.core.multiarray.array}
  1778167    9.947    0.000    9.947    0.000 Tetris.py:188(getHighest)
  1367398    9.063    0.000   84.033    0.000 Tetris.py:152(hit)
  1367426    8.691    0.000    8.691    0.000 Tetris.py:40(toBits)
       16    8.001    0.500    8.001    0.500 {pygame.time.wait}
  1367427    3.582    0.000    9.939    0.000 fromnumeric.py:2771(round_)
   151507    3.194    0.000    6.236    0.000 _methods.py:76(_var)
  1367398    2.954    0.000   24.771    0.000 arraypad.py:1072(_validate_lengths)
  3071653    2.934    0.000    2.934    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1367399    2.737    0.000    6.357    0.000 fromnumeric.py:43(_wrapit)
   151507    2.711    0.000   88.047    0.001 Tetris.py:169(__iadd__)
1515070/151507    2.479    0.000    6.600    0.000 copy.py:145(deepcopy)
  5470912    2.442    0.000   11.520    0.000 numeric.py:406(asarray)
  8204388    2.167    0.000    2.167    0.000 arraypad.py:1069(<genexpr>)
        1    2.003    2.003    2.039    2.039 {built-in method mainloop}
  2734796    1.790    0.000    2.809    0.000 arraypad.py:111(_append_const)
  1367399    1.761    0.000    1.761    0.000 {numpy.core.multiarray.copyto}
   151609    1.674    0.000  115.090    0.001 main.py:35(__init__)
   117533    1.588    0.000    2.187    0.000 Tetris.py:141(check)
   452474    1.502    0.000   11.682    0.000 Tetris.py:193(summary)
   306131    1.473    0.000    1.473    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   238075    1.451    0.000    1.451    0.000 Net.py:37(sigmoid)
  1367638    1.371    0.000    1.371    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  8960561    1.338    0.000    1.338    0.000 {max}
  1892160    1.302    0.000    1.302    0.000 Tetris.py:94(__getitem__)
  2734796    1.233    0.000    1.233    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     4349    1.219    0.000  123.777    0.028 main.py:120(chooseBest)
  1367399    1.196    0.000    3.869    0.000 numeric.py:141(ones)
  1515070    1.025    0.000    1.312    0.000 copy.py:267(_keep_alive)
  1367546    1.012    0.000    1.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
  1368003    0.912    0.000    0.912    0.000 {numpy.core.multiarray.empty}
  2734796    0.839    0.000    1.140    0.000 arraypad.py:77(_prepend_const)
  1367399    0.823    0.000    2.194    0.000 fromnumeric.py:128(reshape)
   149460    0.704    0.000    4.887    0.000 main.py:60(summary)
   117887    0.661    0.000    3.582    0.000 Net.py:57(FF)
  1367406    0.588    0.000    0.588    0.000 {zip}
   336869    0.587    0.000    0.587    0.000 {numpy.core.multiarray.concatenate}
   151507    0.579    0.000    4.568    0.000 copy.py:253(_deepcopy_dict)
   151507    0.563    0.000    6.798    0.000 fromnumeric.py:2988(var)
   151507    0.561    0.000    6.000    0.000 copy.py:283(_deepcopy_inst)
  1367403    0.541    0.000    0.541    0.000 {method 'round' of 'numpy.ndarray' objects}
   151507    0.519    0.000   95.165    0.001 Tetris.py:184(__add__)
   303422    0.512    0.000    0.555    0.000 random.py:175(randrange)
   151507    0.472    0.000    0.472    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
   758519    0.465    0.000    0.465    0.000 {hasattr}
   243180    0.462    0.000    0.462    0.000 {numpy.core.multiarray.dot}
   122495    0.454    0.000    1.015    0.000 shape_base.py:61(atleast_2d)
  1367398    0.438    0.000    0.438    0.000 Tetris.py:82(bits)
   117888    0.434    0.000    0.549    0.000 main.py:88(summary)
  2350772    0.424    0.000    0.424    0.000 {numpy.core.multiarray.count_nonzero}
  1841098    0.415    0.000    0.415    0.000 {isinstance}
   151511    0.372    0.000    0.473    0.000 _methods.py:43(_count_reduce_items)
3033276/3033275    0.365    0.000    0.365    0.000 {method 'get' of 'dict' objects}
  1525355    0.355    0.000    0.355    0.000 {getattr}
   454732    0.348    0.000    0.348    0.000 {numpy.core.multiarray.zeros}
   298920    0.334    0.000    0.334    0.000 Tetris.py:120(summary)
   425523    0.305    0.000    1.162    0.000 numeric.py:476(asanyarray)
   151507    0.269    0.000  115.357    0.001 main.py:53(next)
   528395    0.249    0.000    0.249    0.000 {range}
  3486058    0.234    0.000    0.234    0.000 {id}
   151711    0.222    0.000    0.970    0.000 Tetris.py:76(__init__)
  1526316    0.208    0.000    0.208    0.000 {method 'append' of 'list' objects}
   151507    0.200    0.000    4.141    0.000 main.py:58(spaceEmpty)
   303422    0.193    0.000    0.748    0.000 random.py:238(randint)
  1368115    0.188    0.000    0.188    0.000 {method 'setdefault' of 'dict' objects}
   779973    0.176    0.000    0.176    0.000 arraypad.py:135(<genexpr>)
   604669    0.170    0.000    0.170    0.000 {min}
      142    0.169    0.001    0.317    0.002 afm.py:180(_parse_char_metrics)
